route,count
main,8091
main-rabota,1039
main-bonus,865
main-tariffs,669
main-vklad,514
main-rabota-archive,166
main-rabota-bonus,137
main-bonus-rabota,133
main-archive-internet,131
main-internet-rabota,128
main-rabota-internet,123
main-internet-bonus,114
main-news-archive,112
main-archive-tariffs,103
main-tariffs-archive,101
main-archive,1096
main-internet,879
main-news,760
main-online,584
main-archive-rabota,167
main-bonus-archive,138
main-news-rabota,134
main-rabota-news,129
main-archive-news,125
main-internet-archive,123
main-archive-bonus,117
main-tariffs-internet,113
main-news-internet,108
main-internet-news,102
main-main,94
